_Id,Forename,Surname,Address,Town,County,Year_Born,Gender,Commitment,Weakness,Height,Weight
5cc8ed61fc13ae3b0f000000,Halli,Wark,4506 Nancy Place,Toledo,Ohio,2003,Female,Fair,Turning,162.51,67.43
5cc8ed61fc13ae3b0f000001,Eldredge,Ivanikhin,47062 Heffernan Circle,Harrisburg,Pennsylvania,1991,Male,Good,Turning,212.6,46.94
5cc8ed61fc13ae3b0f000002,Tamas,Swatman,57565 Dakota Alley,Garden Grove,California,1991,Male,Excellent,Turning,208.21,82.65
5cc8ed61fc13ae3b0f000003,Bennett,Loble,15 Bobwhite Drive,Billings,Montana,1982,Male,Excellent,Use of Feet,161.36,59.08
5cc8ed61fc13ae3b0f000004,Ambrose,Dict,63 Scott Point,San Diego,California,1991,Male,Excellent,Use of Feet,186.28,47.33
5cc8ed61fc13ae3b0f000005,Marcela,MacVaugh,2 Buhler Way,Winter Haven,Florida,2007,Female,Fair,Breathing,136.04,72.7
5cc8ed61fc13ae3b0f000006,Caro,Emloch,9 Farwell Street,Clearwater,Florida,1981,Female,Excellent,Use of Feet,201.7,42.99
5cc8ed61fc13ae3b0f000007,Teodorico,Bloss,0 Lukken Terrace,Chico,California,1990,Male,Good,Breathing,161.61,80.3
5cc8ed61fc13ae3b0f000008,Tudor,Piwall,9 Kennedy Crossing,Seattle,Washington,1990,Male,Fair,Breathing,126.4,72.11
5cc8ed61fc13ae3b0f000009,Clair,Macken,02 Green Ridge Way,San Diego,California,1980,Male,Good,Use of Feet,129.76,91.7
5cc8ed61fc13ae3b0f00000a,Alys,Moretto,26 Ilene Parkway,Manassas,Virginia,1983,Female,Fair,Turning,151.27,84.42
5cc8ed61fc13ae3b0f00000b,Ara,Breeze,242 Bay Lane,Louisville,Kentucky,1997,Female,Good,Use of Feet,151.21,46.84
5cc8ed61fc13ae3b0f00000c,Chiquita,Martinolli,61 Eliot Lane,Louisville,Kentucky,1986,Female,Excellent,Breathing,206.53,64.63
5cc8ed61fc13ae3b0f00000d,Adelina,Larratt,83 Golf View Drive,Richmond,Virginia,1999,Female,Excellent,Arm Action,121.16,70.34
5cc8ed61fc13ae3b0f00000e,Ora,Creavan,7930 Birchwood Avenue,Reno,Nevada,1997,Female,Fair,Turning,133.15,63.93
5cc8ed61fc13ae3b0f00000f,Anstice,Oddy,747 Continental Pass,Washington,District of Columbia,2005,Female,Good,Turning,191.62,78.58
5cc8ed61fc13ae3b0f000010,Shayne,Jiggins,6 Quincy Hill,Wilmington,Delaware,2006,Male,Good,Use of Feet,125.49,82.63
5cc8ed61fc13ae3b0f000011,Tiphany,Whapham,147 Roxbury Pass,Seattle,Washington,1985,Female,Fair,Turning,193.85,66.51
5cc8ed61fc13ae3b0f000012,Elwood,Stockill,555 Morning Drive,Atlanta,Georgia,1997,Male,Good,Use of Feet,186.19,70.78
5cc8ed61fc13ae3b0f000013,Daron,Eggle,031 Continental Road,Boston,Massachusetts,2002,Male,Fair,Use of Feet,185.39,71.03
5cc8ed61fc13ae3b0f000014,Demetre,Domenichini,60903 Morning Circle,Pittsburgh,Pennsylvania,1994,Male,Good,Arm Action,153.2,71.8
5cc8ed61fc13ae3b0f000015,Helli,Bithany,48 Cordelia Plaza,Chico,California,1986,Female,Fair,Use of Feet,199.24,89.94
5cc8ed61fc13ae3b0f000016,Alfons,Lassey,63 Hanson Plaza,Saint Petersburg,Florida,1994,Male,Good,Breathing,158.5,43.39
5cc8ed61fc13ae3b0f000017,Cody,Giacopazzi,79567 Crescent Oaks Point,Appleton,Wisconsin,1984,Male,Excellent,Breathing,191.78,52.49
5cc8ed61fc13ae3b0f000018,Lanae,Extil,04 Sachtjen Drive,Washington,District of Columbia,1987,Female,Good,Breathing,137.93,78.71
5cc8ed61fc13ae3b0f000019,Tam,Cuttler,094 Bellgrove Street,Los Angeles,California,1985,Male,Excellent,Arm Action,205.5,58.79
5cc8ed61fc13ae3b0f00001a,Sid,Eyers,4 7th Crossing,Austin,Texas,1981,Male,Excellent,Arm Action,181.48,77.84
5cc8ed61fc13ae3b0f00001b,Rosaline,Sudlow,3932 La Follette Street,Wichita,Kansas,1995,Female,Excellent,Arm Action,185.31,48.39
5cc8ed61fc13ae3b0f00001c,Kareem,Holburn,303 Crownhardt Parkway,Fort Pierce,Florida,2007,Male,Good,Use of Feet,155.41,44.05
5cc8ed61fc13ae3b0f00001d,Skye,Rubert,5 Prairieview Trail,Birmingham,Alabama,1995,Male,Fair,Turning,133.8,82.74
5cc8ed61fc13ae3b0f00001e,Mar,Maharry,15431 Katie Crossing,Phoenix,Arizona,2008,Male,Fair,Breathing,147.6,52.46
5cc8ed61fc13ae3b0f00001f,Hillard,Bonnavant,196 Fallview Junction,Dayton,Ohio,2003,Male,Good,Arm Action,133.6,63.57
5cc8ed61fc13ae3b0f000020,Den,Pennings,1 Browning Plaza,Montgomery,Alabama,1988,Male,Excellent,Arm Action,138.04,91.88
5cc8ed61fc13ae3b0f000021,Devlin,Kaesmakers,840 Fair Oaks Circle,Washington,District of Columbia,1993,Male,Fair,Turning,144.61,45.92
5cc8ed61fc13ae3b0f000022,Phebe,Mithun,9024 Kim Parkway,Charleston,South Carolina,1994,Female,Fair,Turning,138.27,74.97
5cc8ed61fc13ae3b0f000023,Ted,Coltart,39710 Lakewood Gardens Avenue,Lexington,Kentucky,1988,Female,Excellent,Use of Feet,122.55,45.57
5cc8ed61fc13ae3b0f000024,Pyotr,Colgrave,59903 Colorado Crossing,Washington,District of Columbia,1989,Male,Excellent,Breathing,123.56,52.59
5cc8ed61fc13ae3b0f000025,Kania,Sawyer,86 Truax Alley,Toledo,Ohio,2003,Female,Fair,Breathing,211.58,93.05
5cc8ed61fc13ae3b0f000026,Maryrose,Jackalin,2 Loomis Parkway,Birmingham,Alabama,1980,Female,Good,Arm Action,189.97,94.25
5cc8ed61fc13ae3b0f000027,Arlinda,Dedon,8463 Forest Run Parkway,Fort Wayne,Indiana,1997,Female,Fair,Arm Action,178.0,65.68
5cc8ed61fc13ae3b0f000028,Nataline,Darbon,410 Victoria Circle,Reno,Nevada,1987,Female,Excellent,Breathing,168.05,82.59
5cc8ed61fc13ae3b0f000029,Livvie,Botham,1664 Marquette Parkway,Dayton,Ohio,2007,Female,Excellent,Breathing,206.45,40.53
5cc8ed61fc13ae3b0f00002a,Katerine,Noonan,95 Steensland Plaza,Battle Creek,Michigan,1992,Female,Fair,Breathing,188.94,83.08
5cc8ed61fc13ae3b0f00002b,Cally,Breed,6548 Memorial Court,Greeley,Colorado,1981,Female,Fair,Use of Feet,201.76,93.57
5cc8ed61fc13ae3b0f00002c,Corene,Urch,30 Sommers Junction,Sacramento,California,2006,Female,Fair,Turning,141.8,44.59
5cc8ed61fc13ae3b0f00002d,Dorice,Demer,0 Cascade Pass,Bakersfield,California,1999,Female,Fair,Breathing,197.2,58.68
5cc8ed61fc13ae3b0f00002e,Franni,Wensley,46696 Pleasure Terrace,Newark,New Jersey,1997,Female,Fair,Arm Action,120.21,97.52
5cc8ed61fc13ae3b0f00002f,Nester,Crickmoor,8702 Kings Point,El Paso,Texas,1993,Male,Excellent,Use of Feet,129.25,87.91
5cc8ed62fc13ae3b0f000030,Van,McGilroy,770 Graceland Road,Chicago,Illinois,2001,Male,Good,Arm Action,188.42,70.24
5cc8ed62fc13ae3b0f000031,Sheryl,Veall,842 Corry Alley,Washington,District of Columbia,1993,Female,Excellent,Turning,179.98,63.77
5cc8ed62fc13ae3b0f000032,Peyton,Vernall,28 Bartillon Junction,Pensacola,Florida,2008,Male,Good,Breathing,162.97,70.5
